ticker,open,high,low,close,volume,vwap,timestamp,transactions,otc
MSFT,509.355,511.67,499.1201,511.14,26574851.0,507.8895,2025-11-12 05:00:00+00:00,640096.0,
MSFT,510.31,513.5,501.29,503.29,25273114.0,506.1088,2025-11-13 05:00:00+00:00,594503.0,
MSFT,498.23,511.6,497.44,510.18,28505746.0,507.4492,2025-11-14 05:00:00+00:00,591910.0,
MSFT,508.45,512.12,504.91,507.49,19092752.0,507.8177,2025-11-17 05:00:00+00:00,498403.0,
MSFT,495.365,502.98,486.78,493.79,33769527.0,493.6599,2025-11-18 05:00:00+00:00,877003.0,
MSFT,497.04,500.76,495.33,497.41,28368991.0,,2025-06-30 00:00:00+00:00,,
MSFT,496.47,498.05,490.98,492.05,19945375.0,,2025-07-01 00:00:00+00:00,,
MSFT,489.99,493.5,488.7,491.09,16319641.0,,2025-07-02 00:00:00+00:00,,
MSFT,493.81,500.13,493.44,498.84,13984829.0,,2025-07-03 00:00:00+00:00,,
MSFT,497.38,498.75,495.225,497.72,13981605.0,,2025-07-07 00:00:00+00:00,,
MSFT,497.24,498.2,494.11,496.62,11846586.0,,2025-07-08 00:00:00+00:00,,
MSFT,500.3,506.78,499.74,503.51,18659538.0,,2025-07-09 00:00:00+00:00,,
MSFT,503.05,504.44,497.75,501.48,16498740.0,,2025-07-10 00:00:00+00:00,,
MSFT,498.47,505.03,497.795,503.32,16459512.0,,2025-07-11 00:00:00+00:00,,
MSFT,501.515,503.97,501.03,503.02,12058848.0,,2025-07-14 00:00:00+00:00,,
MSFT,503.02,508.3,502.79,505.82,14927202.0,,2025-07-15 00:00:00+00:00,,
MSFT,505.18,506.72,501.89,505.62,15154374.0,,2025-07-16 00:00:00+00:00,,
MSFT,505.68,513.37,505.62,511.7,17503129.0,,2025-07-17 00:00:00+00:00,,
MSFT,514.48,514.64,507.43,510.05,21209666.0,,2025-07-18 00:00:00+00:00,,
MSFT,506.705,512.09,505.55,510.06,14066805.0,,2025-07-21 00:00:00+00:00,,
MSFT,510.97,511.2,505.27,505.27,13868644.0,,2025-07-22 00:00:00+00:00,,
MSFT,506.75,506.79,500.7,505.87,16396585.0,,2025-07-23 00:00:00+00:00,,
MSFT,508.77,513.67,507.3,510.88,16107000.0,,2025-07-24 00:00:00+00:00,,
MSFT,512.465,518.29,510.3592,513.71,19125699.0,,2025-07-25 00:00:00+00:00,,
MSFT,514.08,515.0,510.12,512.5,14308027.0,,2025-07-28 00:00:00+00:00,,
MSFT,515.53,517.62,511.56,512.57,16469235.0,,2025-07-29 00:00:00+00:00,,
MSFT,515.17,515.95,509.435,513.24,26380434.0,,2025-07-30 00:00:00+00:00,,
MSFT,555.225,555.45,531.9,533.5,51617326.0,,2025-07-31 00:00:00+00:00,,
MSFT,535.0,535.8,520.86,524.11,28977628.0,,2025-08-01 00:00:00+00:00,,
MSFT,528.27,538.25,528.13,535.64,25349004.0,,2025-08-04 00:00:00+00:00,,
MSFT,537.18,537.3,527.24,527.75,19171569.0,,2025-08-05 00:00:00+00:00,,
MSFT,530.9,531.7,524.03,524.94,21355702.0,,2025-08-06 00:00:00+00:00,,
MSFT,526.8,528.09,517.5511,520.84,16079144.0,,2025-08-07 00:00:00+00:00,,
MSFT,522.6,524.66,519.41,522.04,15531009.0,,2025-08-08 00:00:00+00:00,,
MSFT,522.3,527.59,519.72,521.77,20194372.0,,2025-08-11 00:00:00+00:00,,
MSFT,523.75,530.98,522.7,529.24,18688921.0,,2025-08-12 00:00:00+00:00,,
MSFT,532.11,532.7,519.37,520.58,19619160.0,,2025-08-13 00:00:00+00:00,,
MSFT,522.56,525.9499,520.14,522.48,20269074.0,,2025-08-14 00:00:00+00:00,,
MSFT,522.77,526.1,519.08,520.17,25213272.0,,2025-08-15 00:00:00+00:00,,
MSFT,521.585,522.82,514.02,517.1,23760583.0,,2025-08-18 00:00:00+00:00,,
MSFT,515.0,515.1641,508.55,509.77,21481016.0,,2025-08-19 00:00:00+00:00,,
MSFT,509.865,511.0,504.44,505.72,27723025.0,,2025-08-20 00:00:00+00:00,,
MSFT,503.69,507.63,502.7201,504.24,18443254.0,,2025-08-21 00:00:00+00:00,,
MSFT,504.25,510.73,502.41,507.23,24324161.0,,2025-08-22 00:00:00+00:00,,
MSFT,506.63,508.19,504.12,504.26,21638579.0,,2025-08-25 00:00:00+00:00,,
MSFT,504.355,504.9778,498.51,502.04,30835709.0,,2025-08-26 00:00:00+00:00,,
MSFT,502.0,507.29,499.9,506.74,17277893.0,,2025-08-27 00:00:00+00:00,,
MSFT,507.09,511.09,505.5,509.64,18015593.0,,2025-08-28 00:00:00+00:00,,
MSFT,508.66,509.6,504.4915,506.69,20961569.0,,2025-08-29 00:00:00+00:00,,
MSFT,500.465,506.0,496.81,505.12,18127995.0,,2025-09-02 00:00:00+00:00,,
MSFT,503.79,507.79,502.32,505.35,15995154.0,,2025-09-03 00:00:00+00:00,,
MSFT,504.3,508.15,503.15,507.97,15509486.0,,2025-09-04 00:00:00+00:00,,
MSFT,509.07,511.97,492.37,495.0,31994846.0,,2025-09-05 00:00:00+00:00,,
MSFT,498.105,501.195,495.03,498.2,16771015.0,,2025-09-08 00:00:00+00:00,,
MSFT,501.43,502.25,497.7,498.41,14410542.0,,2025-09-09 00:00:00+00:00,,
MSFT,502.98,503.2299,496.72,500.37,21611816.0,,2025-09-10 00:00:00+00:00,,
MSFT,502.25,503.17,497.88,501.01,18881608.0,,2025-09-11 00:00:00+00:00,,
MSFT,506.65,512.55,503.85,509.9,23624884.0,,2025-09-12 00:00:00+00:00,,
