vwap,transactions,otc,ticker,timestamp,open,high,low,close,volume
507.3212,434833,,MSFT,2025-11-11 00:00:00+00:00,504.8,509.6,502.3488,508.68,17980020
507.4492,591910,,MSFT,2025-11-14 00:00:00+00:00,498.23,511.6,497.44,510.18,28505746
504.2603,576105,,MSFT,2025-11-10 00:00:00+00:00,500.035,506.85,498.8,506.0,26101480
507.8895,640096,,MSFT,2025-11-12 00:00:00+00:00,509.355,511.67,499.1201,511.14,26574851
506.1088,594503,,MSFT,2025-11-13 00:00:00+00:00,510.31,513.5,501.29,503.29,25273114
507.3212,434833,,MSFT,2025-08-29 00:00:00+00:00,508.66,509.6,504.4915,506.69,20961569
