ticker,open,high,low,close,volume,timestamp,sma_close_10
AAPL,248.25,249.04,245.13,247.45,39776974.0,2025-10-16 00:00:00+00:00,261.311
AAPL,249.485,251.82,247.47,249.34,33893611.0,2025-10-15 00:00:00+00:00,259.275
AAPL,246.6,248.845,244.7,247.77,35477986.0,2025-10-14 00:00:00+00:00,257.152
AAPL,249.38,249.69,245.56,247.66,38142942.0,2025-10-13 00:00:00+00:00,255.03699999999998
AAPL,254.94,256.38,244.0,245.27,61999098.0,2025-10-10 00:00:00+00:00,253.28199999999998
AAPL,257.805,258.0,253.14,254.04,38322012.0,2025-10-09 00:00:00+00:00,252.72799999999998
AAPL,226.87,229.49,224.69,229.31,54575107.0,2025-08-26 00:00:00+00:00,249.814
AAPL,226.48,229.3,226.23,227.16,30983133.0,2025-08-25 00:00:00+00:00,246.25300000000001
AAPL,226.17,229.09,225.41,227.76,42477811.0,2025-08-22 00:00:00+00:00,242.80499999999998
AAPL,226.27,226.52,223.7804,224.9,30621249.0,2025-08-21 00:00:00+00:00,240.06599999999997
AAPL,210.1,211.43,208.45,210.01,42848928.0,2025-07-08 00:00:00+00:00,236.32200000000003
AAPL,212.68,216.23,208.8,209.95,50228984.0,2025-07-07 00:00:00+00:00,232.38299999999998
AAPL,212.145,214.65,211.8101,213.55,34955836.0,2025-07-03 00:00:00+00:00,228.96099999999996
AAPL,208.91,213.34,208.14,212.44,67941811.0,2025-07-02 00:00:00+00:00,225.439
AAPL,206.665,210.1865,206.1401,207.82,78788867.0,2025-07-01 00:00:00+00:00,221.69400000000002
AAPL,202.01,207.39,199.2607,205.17,91912816.0,2025-06-30 00:00:00+00:00,216.80700000000002
AAPL,269.99,270.71,265.32,267.44,43673315.0,2025-11-18 05:00:00+00:00,220.61999999999998
AAPL,268.815,270.49,265.73,267.46,44940486.0,2025-11-17 05:00:00+00:00,224.65
AAPL,271.05,275.96,269.6,272.41,47431201.0,2025-11-14 05:00:00+00:00,229.115
AAPL,274.11,276.699,272.09,272.95,49602794.0,2025-11-13 05:00:00+00:00,233.92
AAPL,275.0,275.73,271.7,273.47,48395767.0,2025-11-12 05:00:00+00:00,240.266
AAPL,269.81,275.91,269.8,275.25,46201578.0,2025-11-11 05:00:00+00:00,246.796
AAPL,268.96,273.73,267.455,269.43,41312312.0,2025-11-10 05:00:00+00:00,252.38399999999996
AAPL,269.795,272.29,266.77,268.47,48227365.0,2025-11-07 05:00:00+00:00,257.987
AAPL,267.89,273.4,267.89,269.77,51203925.0,2025-11-06 05:00:00+00:00,264.182
AAPL,268.61,271.7,266.93,270.14,43682972.0,2025-11-05 05:00:00+00:00,270.679
AAPL,268.325,271.486,267.615,270.04,49271745.0,2025-11-04 05:00:00+00:00,270.93899999999996
AAPL,270.42,270.85,266.25,269.05,50194063.0,2025-11-03 05:00:00+00:00,271.098
AAPL,276.99,277.32,269.16,270.37,86167123.0,2025-10-31 04:00:00+00:00,270.894
AAPL,271.99,274.14,268.48,271.4,69886281.0,2025-10-30 04:00:00+00:00,270.73900000000003
AAPL,269.275,271.41,267.11,269.7,51086742.0,2025-10-29 04:00:00+00:00,270.36199999999997
AAPL,268.985,269.89,268.15,269.0,41534547.0,2025-10-28 04:00:00+00:00,269.73699999999997
AAPL,264.88,269.12,264.6501,268.81,44888052.0,2025-10-27 04:00:00+00:00,269.675
AAPL,261.19,264.13,259.18,262.82,38253517.0,2025-10-24 04:00:00+00:00,269.11
AAPL,259.94,260.62,258.0101,259.58,32752139.0,2025-10-23 04:00:00+00:00,268.091
AAPL,262.65,262.85,255.43,258.45,45011970.0,2025-10-22 04:00:00+00:00,266.92199999999997
AAPL,261.88,265.29,261.83,262.77,46695748.0,2025-10-21 04:00:00+00:00,266.195
AAPL,209.53,211.33,207.22,211.14,48749367.0,2025-07-09 00:00:00+00:00,260.404
AAPL,268.815,270.49,265.73,267.46,45018260.0,2025-11-17 00:00:00+00:00,260.113
AAPL,210.505,213.48,210.03,212.41,44443635.0,2025-07-10 00:00:00+00:00,254.214
AAPL,209.925,210.91,207.54,208.62,38840111.0,2025-07-14 00:00:00+00:00,248.106
AAPL,229.98,230.47,225.77,226.01,42263865.0,2025-08-20 00:00:00+00:00,243.80700000000002
AAPL,231.275,232.87,229.35,230.56,39402564.0,2025-08-19 00:00:00+00:00,239.98200000000003
AAPL,231.7,233.12,230.11,230.89,37476188.0,2025-08-18 00:00:00+00:00,236.789
AAPL,234.0,234.28,229.335,231.59,56038657.0,2025-08-15 00:00:00+00:00,233.99
AAPL,234.055,235.12,230.85,232.78,51916275.0,2025-08-14 00:00:00+00:00,231.423
AAPL,231.07,235.0,230.43,233.33,69878546.0,2025-08-13 00:00:00+00:00,228.47899999999998
AAPL,228.005,230.8,227.07,229.65,55672301.0,2025-08-12 00:00:00+00:00,230.32999999999998
AAPL,227.92,229.56,224.76,227.18,61806132.0,2025-08-11 00:00:00+00:00,226.302
AAPL,220.83,231.0,219.25,229.35,113853967.0,2025-08-08 00:00:00+00:00,227.996
AAPL,218.875,220.85,216.58,220.03,90224834.0,2025-08-07 00:00:00+00:00,229.137
AAPL,205.63,215.38,205.59,213.25,108483103.0,2025-08-06 00:00:00+00:00,227.86100000000002
AAPL,203.4,205.34,202.16,202.92,44155079.0,2025-08-05 00:00:00+00:00,225.09700000000004
AAPL,204.505,207.88,201.675,203.35,75109298.0,2025-08-04 00:00:00+00:00,222.343
AAPL,210.865,213.58,201.5,202.38,104434473.0,2025-08-01 00:00:00+00:00,219.42200000000003
AAPL,208.49,209.84,207.16,207.57,80698431.0,2025-07-31 00:00:00+00:00,216.901
AAPL,211.895,212.39,207.72,209.05,45512514.0,2025-07-30 00:00:00+00:00,214.473
AAPL,214.175,214.81,210.82,211.27,51411723.0,2025-07-29 00:00:00+00:00,212.635
AAPL,214.03,214.845,213.06,214.05,37858017.0,2025-07-28 00:00:00+00:00,211.32200000000003
AAPL,214.7,215.24,213.4,213.88,40268781.0,2025-07-25 00:00:00+00:00,209.775
AAPL,213.9,215.69,213.53,213.76,46022620.0,2025-07-24 00:00:00+00:00,209.148
AAPL,215.0,215.15,212.41,214.15,46989301.0,2025-07-23 00:00:00+00:00,209.238
AAPL,213.14,214.95,212.2301,214.4,46404072.0,2025-07-22 00:00:00+00:00,210.38600000000002
AAPL,212.1,215.78,211.63,212.48,51377434.0,2025-07-21 00:00:00+00:00,211.29899999999998
AAPL,210.87,211.79,209.7045,211.18,48974591.0,2025-07-18 00:00:00+00:00,212.179
AAPL,210.57,211.8,209.59,210.02,48068141.0,2025-07-17 00:00:00+00:00,212.42400000000004
AAPL,210.295,212.4,208.64,210.16,47490532.0,2025-07-16 00:00:00+00:00,212.535
AAPL,209.22,211.89,208.92,209.11,42296339.0,2025-07-15 00:00:00+00:00,212.31900000000002
AAPL,210.565,212.13,209.86,211.16,39765812.0,2025-07-11 00:00:00+00:00,212.03000000000003
AAPL,270.0,270.705,265.32,267.44,45566262.0,2025-11-18 00:00:00+00:00,217.38599999999997
