ticker,open,high,low,close,volume,vwap,timestamp,transactions,otc
MSFT,500.035,513.5,497.44,510.18,124435111.0,506.5836,2025-11-09 05:00:00+00:00,2837447,
MSFT,508.45,512.12,486.43,487.0,61115230.0,497.7086,2025-11-16 05:00:00+00:00,1720106,
