ticker,open,high,low,close,volume,timestamp,sma_close_10,double_open
AAPL,255.885,264.375,255.63,262.24,90483029,2025-10-20 04:00:00+00:00,251.77386672253436,511.77
AAPL,254.665,259.24,253.95,258.02,49155614,2025-10-03 00:00:00+00:00,261.1194655138578,509.33
AAPL,256.575,258.18,254.15,257.13,42630239,2025-10-02 00:00:00+00:00,216.4253868933796,513.15
AAPL,255.04,258.79,254.93,255.45,48713940,2025-10-01 00:00:00+00:00,268.40505777869606,510.08
AAPL,254.855,255.919,253.11,254.63,37704259,2025-09-30 00:00:00+00:00,238.14230912139834,509.71
AAPL,254.56,255.0,253.01,254.43,40127687,2025-09-29 00:00:00+00:00,228.59696770390073,509.12
AAPL,254.095,257.6,253.78,255.46,46076258,2025-09-26 00:00:00+00:00,283.2429269425099,508.19
AAPL,253.205,257.17,251.712,256.87,55202075,2025-09-25 00:00:00+00:00,244.33018069027315,506.41
AAPL,255.22,255.74,251.04,252.31,42303710,2025-09-24 00:00:00+00:00,244.01973873263904,510.44
AAPL,255.875,257.34,253.58,254.43,60275187,2025-09-23 00:00:00+00:00,256.09700000000004,511.75
AAPL,248.3,256.64,248.12,256.08,105517416,2025-09-22 00:00:00+00:00,255.48100000000005,496.6
AAPL,241.225,246.3,240.2106,245.5,163741314,2025-09-19 00:00:00+00:00,254.22899999999998,482.45
AAPL,239.97,241.2,236.65,237.88,44249576,2025-09-18 00:00:00+00:00,252.304,479.94
AAPL,238.97,240.1,237.7301,238.99,46508017,2025-09-17 00:00:00+00:00,250.658,477.94
AAPL,237.175,241.22,236.3235,238.15,63421099,2025-09-16 00:00:00+00:00,249.01000000000005,474.35
AAPL,237.0,238.19,235.03,236.7,42699524,2025-09-15 00:00:00+00:00,247.237,474.0
AAPL,229.22,234.51,229.02,234.07,55824216,2025-09-12 00:00:00+00:00,245.098,458.44
AAPL,226.875,230.45,226.65,230.03,50208578,2025-09-11 00:00:00+00:00,242.414,453.75
AAPL,232.185,232.42,225.95,226.79,83440810,2025-09-10 00:00:00+00:00,239.862,464.37
AAPL,237.0,238.7805,233.36,234.35,66313918,2025-09-09 00:00:00+00:00,237.85399999999998,474.0
AAPL,239.3,240.15,236.34,237.88,48999495,2025-09-08 00:00:00+00:00,236.03399999999996,478.6
AAPL,239.995,241.32,238.4901,239.69,54870397,2025-09-05 00:00:00+00:00,235.45299999999997,479.99
AAPL,238.45,239.8999,236.74,239.78,47549429,2025-09-04 00:00:00+00:00,235.64300000000003,476.9
AAPL,237.21,238.85,234.36,238.47,66061716,2025-09-03 00:00:00+00:00,235.59099999999998,474.42
AAPL,229.25,230.85,226.97,229.72,44075638,2025-09-02 00:00:00+00:00,234.748,458.5
AAPL,232.51,233.38,231.37,232.14,39418437,2025-08-29 00:00:00+00:00,234.292,465.02
AAPL,230.82,233.41,229.335,232.56,38074700,2025-08-28 00:00:00+00:00,234.141,461.64
AAPL,228.61,230.9,228.26,230.49,31259513,2025-08-27 00:00:00+00:00,234.18699999999998,457.22
AAPL,257.99,259.07,255.05,256.69,44664118,2025-10-06 00:00:00+00:00,237.177,515.98
AAPL,226.87,229.49,224.69,229.31,54575107,2025-08-26 00:00:00+00:00,236.673,453.74
AAPL,256.805,257.4,255.43,256.48,31955776,2025-10-07 00:00:00+00:00,238.533,513.61
AAPL,257.805,258.0,253.14,254.04,38322012,2025-10-09 00:00:00+00:00,239.968,515.61
AAPL,268.815,270.49,265.73,267.46,45018260,2025-11-17 00:00:00+00:00,242.73599999999996,537.63
AAPL,271.05,275.96,269.6,272.41,47431331,2025-11-14 00:00:00+00:00,246.13000000000002,542.1
AAPL,274.11,276.699,272.09,272.95,49602794,2025-11-13 00:00:00+00:00,250.45299999999997,548.22
AAPL,275.0,275.73,271.7,273.47,48397982,2025-11-12 00:00:00+00:00,254.58599999999996,550.0
AAPL,269.81,275.91,269.8,275.25,46208318,2025-11-11 00:00:00+00:00,258.855,539.62
AAPL,268.96,273.73,267.455,269.43,41312412,2025-11-10 00:00:00+00:00,262.749,537.92
AAPL,269.795,272.29,266.77,268.47,48227365,2025-11-07 00:00:00+00:00,263.927,539.59
AAPL,267.89,273.4,267.89,269.77,51204045,2025-11-06 00:00:00+00:00,267.973,535.78
AAPL,268.61,271.7,266.93,270.14,42586288,2025-11-05 00:00:00+00:00,269.33900000000006,537.22
AAPL,268.325,271.486,267.615,270.04,49274846,2025-11-04 00:00:00+00:00,270.939,536.65
AAPL,270.42,270.85,266.25,269.05,50194583,2025-11-03 00:00:00+00:00,271.098,540.84
AAPL,276.99,277.32,269.16,270.37,86167123,2025-10-31 00:00:00+00:00,270.894,553.98
AAPL,271.99,274.14,268.48,271.4,69886534,2025-10-30 00:00:00+00:00,270.739,543.98
AAPL,269.275,271.41,267.11,269.7,51086742,2025-10-29 00:00:00+00:00,270.362,538.55
AAPL,268.985,269.89,268.15,269.0,41534759,2025-10-28 00:00:00+00:00,269.73699999999997,537.97
AAPL,264.88,269.12,264.6501,268.81,44888152,2025-10-27 00:00:00+00:00,269.675,529.76
AAPL,261.19,264.13,259.18,262.82,38253717,2025-10-24 00:00:00+00:00,269.11,522.38
AAPL,259.94,260.62,258.0101,259.58,32754941,2025-10-23 00:00:00+00:00,268.091,519.88
AAPL,262.65,262.85,255.43,258.45,45015254,2025-10-22 00:00:00+00:00,266.92199999999997,525.3
AAPL,261.88,265.29,261.83,262.77,46695948,2025-10-21 00:00:00+00:00,266.195,523.76
AAPL,255.885,264.375,255.63,262.24,90483029,2025-10-20 00:00:00+00:00,265.514,511.77
AAPL,248.02,253.38,247.27,252.29,49146961,2025-10-17 00:00:00+00:00,263.706,496.04
AAPL,248.25,249.04,245.13,247.45,39776974,2025-10-16 00:00:00+00:00,261.31100000000004,496.5
AAPL,249.485,251.82,247.47,249.34,33893611,2025-10-15 00:00:00+00:00,259.275,498.97
AAPL,246.6,248.845,244.7,247.77,35477986,2025-10-14 00:00:00+00:00,257.152,493.2
AAPL,249.38,249.69,245.56,247.66,38142942,2025-10-13 00:00:00+00:00,255.03699999999998,498.76
AAPL,254.94,256.38,244.0,245.27,61999098,2025-10-10 00:00:00+00:00,253.282,509.88
AAPL,256.52,258.52,256.11,258.06,36496895,2025-10-08 00:00:00+00:00,253.12999999999997,513.04
AAPL,269.99,270.71,265.32,267.44,45677278,2025-11-18 00:00:00+00:00,254.029,539.98
AAPL,226.48,229.3,226.23,227.16,30983133,2025-08-25 00:00:00+00:00,250.468,452.96
AAPL,226.27,226.52,223.7804,224.9,30621249,2025-08-21 00:00:00+00:00,246.73399999999998,452.54
AAPL,210.1,211.43,208.45,210.01,42848928,2025-07-08 00:00:00+00:00,242.506,420.2
AAPL,212.68,216.23,208.8,209.95,50228984,2025-07-07 00:00:00+00:00,238.756,425.36
AAPL,212.145,214.65,211.8101,213.55,34955836,2025-07-03 00:00:00+00:00,235.177,424.29
AAPL,208.91,213.34,208.14,212.44,67941811,2025-07-02 00:00:00+00:00,231.644,417.82
AAPL,206.665,210.1865,206.1401,207.82,78788867,2025-07-01 00:00:00+00:00,227.66,413.33
